maxcnt:120
cntdiff -9 -8 -7 -6 -5 -4 -3 -2 -1 0 1 2 3 4 5 6 7 8 9
109 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
110 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
111 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
112 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.012 #nan
113 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.026 #nan #nan
114 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.027 #nan #nan #nan
115 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.043 #nan #nan #nan #nan
116 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.059 #nan #nan #nan #nan #nan
117 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.06 #nan #nan #nan #nan #nan #nan
118 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.14 #nan #nan #nan #nan #nan #nan #nan
119 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.18 #nan #nan #nan #nan #nan #nan #nan #nan
120 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.74 #nan #nan #nan #nan #nan #nan #nan #nan #nan
